,text,names,Date,FG,3P,FGA,PTS,Result,EFG,hashtag,tokens,stems,lemmas
9323,"Another Day, Another Opportunity💯",Trae Young,2021-03-08,3.0,0.0,8.0,5.0,W,0.375,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9324,"Sometimes I still gotta pinch myself.. 
Living out my dreams🙏🏽💯",Trae Young,2021-03-09,3.0,0.0,4.0,6.0,L,0.75,[],sometimes still got ta pinch .. living dreams 🙏 💯 ,sometim still got ta pinch .. live dreams🙏🏽💯 ,sometimes still got to pinch .. live dream 🙏 💯 
9325,"Another Day, Another Opportunity💯",Trae Young,2021-03-09,3.0,0.0,3.0,3.0,L,1.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9326,OVERDUE FAM$$$ @dak Much Deserved!!! 🙏🏽🙏🏽🙏🏽,Trae Young,2021-03-09,3.0,1.0,8.0,3.0,L,0.4375,[],overdue fam$$$ much deserved ! ! ! 🙏 🙏 🙏 ,overdu fam $ $ $ much deserv ! ! ! 🙏🏽🙏🏽🙏🏽 ,overdue fam$$$ much deserve ! ! ! 🙏 🙏 🙏 
9327,"Sometimes I still gotta pinch myself.. 
Living out my dreams🙏🏽💯",Trae Young,2021-03-09,3.0,0.0,0.0,7.0,L,0.0,[],sometimes still got ta pinch .. living dreams 🙏 💯 ,sometim still got ta pinch .. live dreams🙏🏽💯 ,sometimes still got to pinch .. live dream 🙏 💯 
9328,Imma fan of positivity. 💯,Trae Young,2021-03-10,3.0,0.0,7.0,1.0,L,0.4285714285714285,[],imma fan positivity . 💯 ,imma fan posit . 💯 ,imma fan positivity . 💯 
9329,"Another Day, Another Opportunity💯",Trae Young,2021-03-10,3.0,0.0,0.0,7.0,L,0.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9330,Wayman Tisdale &amp; Mookie Blaylock.🙌🏽💯 https://t.co/e1melKpxK5,Trae Young,2021-03-10,3.0,0.0,9.0,4.0,L,0.3333333333333333,[],wayman tisdale mookie blaylock. 🙌 💯 ,wayman tisdal mooki blaylock.🙌🏽💯 ,wayman tisdale mookie blaylock. 🙌 💯 
9331,"Another Day, Another Opportunity💯",Trae Young,2021-03-11,11.0,2.0,24.0,37.0,W ,0.5,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9332,These Young Woman are POWERFUL!!! ✊🏽✊🏽✊🏽 https://t.co/ay8vDuRcBE,Trae Young,2021-03-12,3.0,0.0,6.0,1.0,W,0.5,[],young woman powerful ! ! ! ✊ ✊ ✊ ,young woman power ! ! ! ✊🏽✊🏽✊🏽 ,young woman powerful ! ! ! ✊ ✊ ✊ 
9333,"Another Day, Another Opportunity💯",Trae Young,2021-03-12,3.0,1.0,6.0,0.0,W,0.5833333333333334,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9334,"T SNELL FOR GAMEEEEE!!!!!!!
#WATER 🌊🌊🐌",Trae Young,2021-03-12,3.0,0.0,9.0,3.0,W,0.3333333333333333,['WATER'],snell gameeeee ! ! ! ! ! ! ! water 🌊 🌊 🐌 ,snell gameeee ! ! ! ! ! ! ! water 🌊🌊🐌 ,snell gameeeee ! ! ! ! ! ! ! water 🌊 🌊 🐌 
9335,"Another Day, Another Opportunity💯",Trae Young,2021-03-13,9.0,5.0,17.0,28.0,W ,0.6764705882352942,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9336,"Another Day, Another Opportunity💯",Trae Young,2021-03-14,4.0,2.0,9.0,14.0,W ,0.5555555555555556,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9337,"Another Day, Another Opportunity💯",Trae Young,2021-03-14,4.0,2.0,9.0,14.0,W ,0.5555555555555556,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9338,A Little appetizer before the meal👀🤫.. ❄️ https://t.co/0y3uQkTlJE,Trae Young,2021-03-15,3.0,0.0,9.0,5.0,W,0.3333333333333333,[],little appetizer meal 👀 🤫 .. ❄ ️ ,littl appet meal👀🤫 .. ❄️ ,little appetizer meal 👀 🤫 .. ❄ ️ 
9339,"Another Day, Another Opportunity💯",Trae Young,2021-03-15,3.0,1.0,2.0,2.0,W,1.75,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9340,"THAT’S ✋🏽 STRAIGHT !! 
#WeMove ❄️💯 https://t.co/2ePXiPxtDA",Trae Young,2021-03-15,3.0,0.0,7.0,2.0,W,0.4285714285714285,['WeMove'],✋ straight ! ! wemove ❄ ️ 💯 ,that ✋🏽 straight ! ! wemov ❄️💯 ,✋ straight ! ! wemove ❄ ️ 💯 
9341,"Another Day, Another Opportunity💯",Trae Young,2021-03-16,3.0,1.0,13.0,13.0,W ,0.2692307692307692,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9342,Control the things you can control in life..💯,Trae Young,2021-03-16,3.0,1.0,13.0,13.0,W ,0.2692307692307692,[],control things control life .. 💯 ,control thing control life .. 💯 ,control thing control life .. 💯 
9343,"Let me just say whoever win the 
OU/Gonzaga Game in the round of 32 is winning my bracket😏🤣🤣",Trae Young,2021-03-16,3.0,1.0,13.0,13.0,W ,0.2692307692307692,[],let say whoever win ougonzaga game round winning bracket 😏 🤣 🤣 ,let say whoever win ougonzaga game round win bracket😏🤣🤣 ,let say whoever win ougonzaga game round win bracket 😏 🤣 🤣 
9344,Good luck to my @teamtraeyoungmb &amp; @traeyoungelite1 Teams as they enter the start of the New AAU season!! LETS GET BUSY❄️ #3StripeLife,Trae Young,2021-03-17,3.0,0.0,1.0,5.0,L,3.0,['3StripeLife'],good luck teams enter start new aau season ! ! lets get busy ❄ ️ stripelife ,good luck team enter start new aau season ! ! let get busy❄️ stripelif ,good luck team enter start new aau season ! ! let get busy ❄ ️ stripelife 
9345,"SICK about what happened here in ATL yesterday, my Condolences go out to the family’s &amp; loved ones who were affected by this tragedy😞 Nothing else needs to be said... I’m with you!❤️ 
STOP ASIAN HATE!!!!!!",Trae Young,2021-03-17,3.0,0.0,1.0,1.0,L,3.0,[],sick happened atl yesterday condolences go familys loved ones affected tragedy 😞 nothing else needs said ... you! ❤ ️ stop asian hate ! ! ! ! ! ! ,sick happen atl yesterday condol go famili love one affect tragedy😞 noth els need said ... im ! ❤️ stop asian hate ! ! ! ! ! ! ,sick happen atl yesterday condolence go familys love one affect tragedy 😞 nothing else need say ... you! ❤ ️ stop asian hate ! ! ! ! ! ! 
9346,"Another Day, Another Opportunity💯",Trae Young,2021-03-17,3.0,0.0,4.0,2.0,L,0.75,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9347,"All about the W’s !!! 
6 of em✋🏽☝🏽
#WeMove https://t.co/9mJ6CQoRQy",Trae Young,2021-03-17,3.0,1.0,9.0,3.0,L,0.3888888888888889,['WeMove'],ws ! ! ! em ✋ ☝ wemove ,ws ! ! ! em✋🏽☝🏽 wemov ,ws ! ! ! em ✋ ☝ wemove 
9348,"Another Day, Another Opportunity💯",Trae Young,2021-03-18,9.0,2.0,15.0,23.0,W ,0.6666666666666666,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9349,It’s the Toast 4 Me😍😋 @Raising_Canes imma ride or die! https://t.co/iJcSfnrAXA,Trae Young,2021-03-18,9.0,2.0,15.0,23.0,W ,0.6666666666666666,[],toast 😍 😋 imma ride die ! ,toast me😍😋 imma ride die ! ,toast 😍 😋 imma ride die ! 
9350,"Max Abmas a Problem🔥🔥 F’d up my bracket but I ain’t trippin😂💯 
Keep Goin!!  @maxabmas",Trae Young,2021-03-19,3.0,0.0,1.0,2.0,L,3.0,[],max abmas problem 🔥 🔥 fd bracket ai nt trippin 😂 💯 keep goin ! ! ,max abma problem🔥🔥 fd bracket aint trippin😂💯 keep goin ! ! ,max abmas problem 🔥 🔥 fd bracket be not trippin 😂 💯 keep goin ! ! 
9351,"Another Day, Another Opportunity💯",Trae Young,2021-03-19,3.0,0.0,9.0,7.0,L,0.3333333333333333,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9352,"DON’T LOOK NOW👀🤫
7 of em!! ✌🏽✋🏽
#WeMove",Trae Young,2021-03-19,3.0,0.0,6.0,6.0,L,0.5,['WeMove'],nt look 👀 🤫 em ! ! ✌ ✋ wemove ,dont look now👀🤫 em ! ! ✌🏽✋🏽 wemov ,not look 👀 🤫 em ! ! ✌ ✋ wemove 
9353,"EIGHT PIECE SPICY🔥🔥
#WeMove https://t.co/VzJCuIdQap",Trae Young,2021-03-20,6.0,0.0,18.0,14.0,W ,0.3333333333333333,['WeMove'],eight piece spicy 🔥 🔥 wemove ,eight piec spicy🔥🔥 wemov ,eight piece spicy 🔥 🔥 wemove 
9354,"Another Day, Another Opportunity💯",Trae Young,2021-03-20,6.0,0.0,18.0,14.0,W ,0.3333333333333333,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9355,"BIG TIME WIN @UNTCoachGMac !! 
Way to make History!! Keep it Goin👏🏽",Trae Young,2021-03-20,6.0,0.0,18.0,14.0,W ,0.3333333333333333,[],big time win ! ! way make history ! ! keep goin 👏 ,big time win ! ! way make histori ! ! keep goin👏🏽 ,big time win ! ! way make history ! ! keep goin 👏 
9356,"Another Day, Another Opportunity💯",Trae Young,2021-03-21,3.0,0.0,9.0,0.0,L,0.3333333333333333,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9357,“How he hate me when I never met the man”💯,Trae Young,2021-03-21,3.0,1.0,8.0,3.0,L,0.4375,[],hate never met man 💯 ,hate never met man💯 ,hate never meet man 💯 
9358,"Another Day, Another Opportunity💯",Trae Young,2021-03-22,9.0,5.0,20.0,28.0,L ,0.575,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9359,Keep Receipts.✍🏽,Trae Young,2021-03-22,9.0,5.0,20.0,28.0,L ,0.575,[],keep receipts. ✍ ,keep receipts.✍🏽 ,keep receipts. ✍ 
9360,"Another Day, Another Opportunity💯",Trae Young,2021-03-23,3.0,0.0,0.0,7.0,L,0.0,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9361,"Let’s Start Another One Fellas.. 😤
#WeMove",Trae Young,2021-03-23,3.0,1.0,5.0,4.0,L,0.7,['WeMove'],lets start another one fellas .. 😤 wemove ,let start anoth one fella .. 😤 wemov ,let start another one fella .. 😤 wemove 
9362,"Another Day, Another Opportunity💯",Trae Young,2021-03-24,11.0,1.0,24.0,29.0,L ,0.4791666666666667,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9363,"A True Professional , Good Luck Champ👊🏽🤞🏽💯
@RajonRondo https://t.co/pVSfhuVUJl",Trae Young,2021-03-25,3.0,1.0,1.0,3.0,L,3.5,[],true professional good luck champ 👊 🤞 💯 ,true profession good luck champ👊🏽🤞🏽💯 ,true professional good luck champ 👊 🤞 💯 
9364,What a day..!,Trae Young,2021-03-25,3.0,0.0,2.0,6.0,L,1.5,[],day .. ! ,day .. ! ,day .. ! 
9365,"Another Day, Another Opportunity💯",Trae Young,2021-03-25,3.0,0.0,4.0,3.0,L,0.75,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9366,What a day..!,Trae Young,2021-03-25,3.0,0.0,0.0,6.0,L,0.0,[],day .. ! ,day .. ! ,day .. ! 
9367,"“ To be a great leader, you must first be a great follower “ you can’t know it all right away. 💯 #somequickknowledge",Trae Young,2021-03-26,6.0,1.0,14.0,21.0,W ,0.4642857142857143,['somequickknowledge'],great leader must first great follower ca nt know right away . 💯 somequickknowledge ,great leader must first great follow cant know right away . 💯 somequickknowledg ,great leader must first great follower can not know right away . 💯 somequickknowledge 
9368,"Another Day, Another Opportunity💯",Trae Young,2021-03-26,6.0,1.0,14.0,21.0,W ,0.4642857142857143,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9369,I often think to myself what this duo could’ve done with more years together &amp; get sad because I know it would’ve been special. Hall of Fame Career.💯 Good Luck with Retirement Coach @LonKruger ❤️ https://t.co/ly67v6nrbX,Trae Young,2021-03-26,6.0,1.0,14.0,21.0,W ,0.4642857142857143,[],often think duo could done years together get sad know would special . hall fame career . 💯 good luck retirement coach ❤ ️ ,often think duo couldv done year togeth get sad know wouldv special . hall fame career.💯 good luck retir coach ❤️ ,often think duo could do year together get sad know would special . hall fame career . 💯 good luck retirement coach ❤ ️ 
9370,This Iowa vs UConn game 🔥🔥,Trae Young,2021-03-27,3.0,0.0,9.0,5.0,W,0.3333333333333333,[],iowa vs uconn game 🔥 🔥 ,iowa vs uconn game 🔥🔥 ,iowa vs uconn game 🔥 🔥 
9371,Had to check somethin real quick🤣🤣 https://t.co/c1jhuPk3Sl,Trae Young,2021-03-27,3.0,1.0,8.0,6.0,W,0.4375,[],check somethin real quick 🤣 🤣 ,check somethin real quick🤣🤣 ,check somethin real quick 🤣 🤣 
9372,"Another Day, Another Opportunity💯",Trae Young,2021-03-27,3.0,1.0,5.0,5.0,W,0.7,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9373,That Boy Good😈🤞🏽 Lite Too.. @jcollins20_ https://t.co/zgP2W1aWEP,Trae Young,2021-03-27,3.0,0.0,8.0,7.0,W,0.375,[],boy good 😈 🤞 lite .. ,boy good😈🤞🏽 lite .. ,boy good 😈 🤞 lite .. 
9374,"Another Day, Another Opportunity💯",Trae Young,2021-03-28,8.0,3.0,14.0,21.0,L ,0.6785714285714286,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9375,I ain’t gonna lie... I was about to go CRAZZZZYYYYYY !! @maxabmas A Pro,Trae Young,2021-03-28,8.0,3.0,14.0,21.0,L ,0.6785714285714286,[],ai nt gon na lie ... go crazzzzyyyyyy ! ! pro ,aint gon na lie ... go crazzzzyyyyyy ! ! pro ,be not going to lie ... go crazzzzyyyyyy ! ! pro 
9376,That cost work https://t.co/Hsnyu3Mkgd,Trae Young,2021-03-29,3.0,1.0,8.0,4.0,L,0.4375,[],cost work ,cost work ,cost work 
9377,🎶What’s Free?,Trae Young,2021-03-29,3.0,0.0,9.0,1.0,L,0.3333333333333333,[],🎶 free ? ,🎶what free ? ,🎶 free ? 
9378,"Another Day, Another Opportunity💯",Trae Young,2021-03-30,5.0,1.0,16.0,19.0,L ,0.34375,[],another day another opportunity 💯 ,anoth day anoth opportunity💯 ,another day another opportunity 💯 
9379,Yo Russ buggin right now🤯,Trae Young,2021-03-30,5.0,1.0,16.0,19.0,L ,0.34375,[],yo russ buggin right 🤯 ,yo russ buggin right now🤯 ,yo russ buggin right 🤯 
